,ID,Num_Rooms,has_isolated,has_adjacent,Time_to_subway,Square_m2,Flat_floor,Max_floors,HouseType,Parking,rent,commsumm,deposit,comminc,renttime,prepayment,Renovation
9526,274958537,2,0,0,20,42.0,7,12,45290.64,75981.08,-0.39012299146724366,0.0,-0.007329280233915991,1,1,1,44493.82
9527,274894680,1,0,0,5,35.0,3,9,45290.64,75981.08,-0.36671748443980334,0.0,-0.007282387618171661,1,1,1,44493.82
9528,274780662,1,0,0,9,38.0,16,17,45290.64,75981.08,-0.3589156487639899,0.0,-0.007266756746256884,1,1,1,84298.8
9529,274891661,2,1,0,8,38.0,1,9,45290.64,75981.08,-0.343311977412363,0.0,-0.00723549500242733,1,1,1,44493.82
9530,274530401,1,0,0,14,38.0,1,17,45290.64,75981.08,-0.3355101417365496,0.0,-0.007219864130512553,1,1,1,84298.8
9531,274071668,2,0,1,5,40.0,9,9,45290.64,64696.19,-0.3277083060607361,0.0,-0.007204233258597777,1,1,1,84298.8
9532,274588140,1,0,0,7,32.0,5,5,45290.64,75981.08,-0.3277083060607361,0.0,-0.007204233258597777,1,1,1,84298.8
9533,274817875,1,0,0,10,39.9,9,24,106839.39,64696.19,-0.26529362065422857,0.0,-0.007079186283279562,1,1,1,84298.8
9534,274596943,3,1,0,15,73.0,12,17,45290.64,75981.08,0.08578898475737629,0.0,-0.006375797047114603,1,1,1,84298.8
9535,264649540,1,0,0,5,32.0,1,5,45290.64,75981.08,-0.39012299146724366,0.0,-0.007329280233915991,1,1,1,44493.82
9536,262072700,2,1,0,11,55.0,16,17,45290.64,64696.19,-0.18727526389609417,0.0,-0.006922877564131793,1,1,1,84298.8
9537,273844148,3,0,0,8,127.0,12,20,124970.37,75981.08,0.5148899469271155,0.0,-0.005516099091801876,0,1,1,53549.96
9538,274826907,2,0,1,16,42.0,4,5,45290.64,75981.08,-0.3823211557914302,0.0,-0.007313649362001215,1,1,1,44493.82
9539,274523412,3,0,0,4,68.0,5,13,77524.52,64696.19,-0.031238550379825338,0.0,-0.006610260125836256,1,1,1,84298.8
9540,274736466,1,0,0,9,40.0,3,17,45290.64,75981.08,-0.22628444227516137,0.0,-0.0070010319237056775,1,1,1,84298.8
9541,261665549,4,0,0,12,240.0,4,17,106839.39,75981.08,2.309312152364207,0.0,-0.0019209985514031995,0,1,1,84298.8
9542,274697336,2,0,1,-1,42.0,3,5,45066.84,75981.08,-0.4603395125495646,0.0,-0.007469958081148983,1,1,1,53549.96
